;0;1;2;3;4;5;6
0;133.79450597636614;72.55436641289896;38.74727451008177;148.10893462703837;183.45858807605026;27.2408066581693;49.01406787463832
1;171.4744347374456;88.69472502203207;40.126719462567735;187.0928925546779;25.0;27.299482178536692;54.75876473529797
2;25.0;92.18608691755855;25.0;25.0;229.58569861327294;27.248279683762192;55.860813938819746
3;171.9846196503459;89.04023854032339;40.42171059251423;188.51541170459052;25.0;27.298760368579423;54.90084476506109
4;25.0;92.53169145048305;25.0;25.0;230.5297917248127;27.247733289253546;56.0021344907952
5;172.4924071174225;89.38445141756331;40.719275881670114;189.9344869990071;25.0;27.298043537545357;55.04235161490632
6;25.0;92.87526765090567;25.0;25.0;231.46819382054244;27.24719513320254;56.142591697336044
7;173.03764060424606;89.74373887068876;41.03054515654775;191.38877639642948;25.0;27.297446970658473;55.18787856789498
8;25.0;93.23844682822285;25.0;25.0;232.38762220389947;27.24678179155099;56.28863503462405
9;173.53463499886104;90.0812672636848;41.32928051568947;192.7839875693442;25.0;27.29674843670714;55.32655734225105
10;25.0;93.57388098899214;25.0;25.0;233.3034047735587;27.24626599182586;56.4256923333749
11;171.06780662832062;89.13792760893301;41.552895752424455;191.0615266459056;25.0;27.296368109101724;63.54453375855026
12;25.0;92.49821230848961;25.0;25.0;230.85375087270685;27.245832333381735;64.70122943909385
13;171.54353254270157;89.46141428400786;41.84673643899042;192.401793148571;25.0;27.295691234864417;63.68982982034362
14;25.0;92.81813734400538;25.0;25.0;231.72819477131227;27.245328466615142;64.84404537029633
15;172.0070217541497;89.77685111216559;42.136193220246525;193.71028843676993;25.0;27.295033122011688;63.83145924124696
16;25.0;93.12932107036092;25.0;25.0;232.57862090868633;27.244842526924323;64.98291429195561
17;172.45639906428298;90.08293823423021;42.41979686464626;194.98148039383943;25.0;27.294396315390973;63.968843053074956
18;25.0;93.40748652888625;25.0;25.0;233.4110380515948;27.24426132253121;65.10900257263546
19;172.84817469028172;90.36060562341571;42.68370512759321;196.164851335694;25.0;27.293670629263513;64.09515889538896
20;25.0;89.79391377003633;25.0;25.0;224.9679912191221;32.17753895827833;96.50707828003594
21;165.14764735800767;87.09099728611424;42.83635229972201;188.57849193118383;25.0;32.21624091183399;95.4014223282558
22;25.0;90.10026658147657;25.0;25.0;225.70511701080483;32.1773031494347;96.67248953366365
23;173.38000239297233;90.79272271650558;43.21877786691758;198.1759409104155;25.0;32.212362485378804;65.37369268212709
24;25.0;94.10349132447716;25.0;25.0;235.3875798428704;32.17310727761291;66.51609258201294
25;173.75513341840363;91.0489885407025;43.464375790164695;199.24464264837493;25.0;32.21194457212104;65.48965864846858
26;25.0;94.35236888670177;25.0;25.0;236.06747236192396;32.17281097149191;66.62804537072157
27;178.33713902031823;90.82368141885509;43.65388399508495;188.54113589272785;25.0;32.21157641336765;65.41717509480765
28;25.0;94.5854560841491;25.0;25.0;236.70415966783844;32.17253529707826;66.73286998564475
29;178.67049890843228;91.04778337899003;43.87171398166601;189.45386770753933;25.0;32.211211160932045;65.51862253989775
30;25.0;94.80176545229044;25.0;25.0;237.29495880905063;32.17228104511683;66.83012760067496
31;178.97812984992177;91.25470755669652;44.074035653868584;190.29735017534918;25.0;32.21087456485063;65.61227176885919
32;25.0;95.00037732476599;25.0;25.0;237.83737181926367;32.17204892880336;66.91940980941888
33;179.25876041377313;91.44356929635357;44.25968459769534;191.0677996294248;25.0;32.21056790062676;65.6977279458869
34;25.0;95.18044450553279;25.0;25.0;238.32909822132282;32.17183958555078;67.00034063067916
35;179.5112284835762;91.61355851745071;44.42758223936027;191.76174299944648;25.0;32.21029232822974;65.77462976214352
36;25.0;95.3411966143027;25.0;25.0;238.76804665147657;32.17165357887397;67.07257837156546
37;179.734486711397;91.7639439349631;44.5767450136139;192.37603827127262;25.0;32.21004888830518;65.84265124838583
38;25.0;95.4819440721647;25.0;25.0;239.15234551697975;32.17149140031749;67.13581733465199
39;183.2928923959797;93.33413438686085;44.79211970048138;196.3579655479902;25.0;32.209601495437674;56.69111627927408
40;25.0;97.1894845897616;25.0;25.0;243.25811458805128;32.17141354785938;57.9044180084708
41;197.66787244632968;91.93270283580085;44.821630801054226;160.29673871843303;25.0;32.209490851070235;56.20105590777652
42;25.0;97.29524498901309;25.0;25.0;243.42108684937435;27.24091940145445;57.943089445342075
43;197.80613015817391;92.02092409729211;44.90917258854037;160.6264148108229;25.0;27.28894340483067;56.233155977269035
44;25.0;97.37319100095768;25.0;25.0;243.63353156085066;27.240811920449413;57.9748567352339
45;197.9095578450817;92.08709717430777;44.97539986946565;160.874271891086;25.0;27.288809297631715;56.26034531852729
46;25.0;97.4291086582098;25.0;25.0;243.78593319737448;27.240734961557855;57.99764532680191
47;186.15121251610557;93.38401264403659;45.079449916232534;191.14205253974362;25.0;27.288651067996287;56.722111193728395
48;25.0;97.46275628535327;25.0;25.0;243.87763703661048;27.240688711753435;58.01135765193216
49;186.1207753718464;93.37994204100242;45.083726096387;191.1690669132839;25.0;27.28844358602208;56.72361840171171
50;25.0;97.43983090784992;25.0;25.0;243.9219040647716;27.24050770284594;58.00557610115382
51;179.42246421958046;94.11370019173229;45.15208559467068;209.61678714826624;25.0;27.288415907710153;56.98289104090324
52;25.0;97.42860061624859;25.0;25.0;243.8912928056073;27.240523129178847;58.00099920776699
53;179.38977309220516;94.09125515791553;45.12963376770574;209.52259015091727;25.0;27.288460655856884;56.97369658211085
54;25.0;97.39495833014;25.0;25.0;243.7995906611877;27.240569371018655;57.98728814194036
55;179.32452736397693;94.04646261457897;45.08486551345048;209.33462705630077;25.0;27.288549983918386;56.95534719701602
56;25.0;97.33904955598597;25.0;25.0;243.64719183746377;27.24064631665705;57.96450164434285
57;179.2269994294142;93.97951708319825;45.01805044328751;209.05375703489793;25.0;27.288683555963438;56.9279217423794
58;25.0;97.26111594126417;25.0;25.0;243.4347510390522;27.240753779152215;57.93273727579529
59;179.09759623851787;93.89070903257777;44.92959001746053;208.6812622933511;25.0;27.288860869426088;56.89153798448256
60;25.0;97.16149398694793;25.0;25.0;243.16318003086502;27.240891495209848;57.8921309096774
61;178.9368573393306;93.78042331500568;44.820014033356586;208.21884028563161;25.0;27.289081256702673;56.84635198120522
62;25.0;97.0406132597041;25.0;25.0;242.83364286325136;27.241059123667007;57.84285602695497
63;178.74545228896852;93.64913710134189;44.689976003510495;207.66859344358966;25.0;27.289343887281106;56.792557265902964
64;25.0;96.89899411832005;25.0;25.0;242.44754979894705;27.241256243622423;57.78512281939988
65;178.52417745083932;93.49741733205107;44.54024747402416;207.0330165240379;25.0;27.289647770401892;56.730383839625134
66;25.0;96.73724497267067;25.0;25.0;242.0065499901197;27.241482352276922;57.719177108032746
67;178.27278545482957;93.32540110554696;44.37186705610752;206.3137266782753;25.0;27.311372190507505;56.66479218408499
68;25.0;96.5486291019845;25.0;25.0;241.64119295979262;27.262313420231347;57.64750946504189
69;177.99464675236246;93.13485827964404;44.18550996645847;205.51646598053404;25.0;27.31175961146391;56.58668898662842
70;25.0;96.34877506437516;25.0;25.0;241.0961304004031;27.26259926006648;57.566007438746304
71;182.21232306698332;92.42936315998506;43.9358328142099;192.14797969641089;25.0;27.312205292169715;56.32546045340905
72;25.0;96.13111013578565;25.0;25.0;240.5024411285503;27.26291240628749;57.47723031636664
73;181.87689405697097;92.20393730426238;43.71766964684808;191.2308651226694;25.0;27.312667154461582;56.232961501536494
74;25.0;95.89655904480203;25.0;25.0;239.86263423332665;27.263251992230156;57.38155226788566
75;181.51695678809043;91.96218886779698;43.48521550357006;190.24824081114068;25.0;27.313163484290026;56.13374827389178
76;25.0;95.64611473226795;25.0;25.0;239.17940467547947;27.26361705569405;57.27937525112214
77;181.13399161272534;91.70514291550643;43.23977816921833;189.20446084257654;25.0;27.313692389986485;56.02823794594248
78;25.0;95.38083336958778;25.0;25.0;238.45561995142663;27.26400653676451;57.17112703808725
79;180.72956971180943;91.43388485937959;42.98272036194534;188.1041210611758;25.0;27.3142518513421;55.916872513842605
80;25.0;95.10182912050462;25.0;25.0;237.69430606257833;27.264419275981766;57.0572591375254
81;180.30534594749915;91.14955505568109;42.715448605571794;186.9520334844391;25.0;27.314839726525044;55.800116644242635
82;25.0;94.8102686839442;25.0;25.0;236.89863288869958;27.264854012958825;56.938244628064325
83;179.86305140277943;90.85334320441227;42.43940190248192;185.7531999662943;25.0;27.315453759492982;55.67845544237565
84;25.0;94.50736565614565;25.0;25.0;236.07189906566313;27.26530938554776;56.81457591664774
85;179.40448565217028;90.54648259040614;42.15604032776065;184.51278533092122;25.0;27.316091587889126;55.552392153541376
86;25.0;94.1943747505586;25.0;25.0;235.21751646856816;27.26578392964937;56.68676243702117
87;178.93150880818092;90.2302442054234;41.86683366611905;183.2360901933203;25.0;27.31675075140553;55.42244581310995
88;25.0;93.8725859137962;25.0;25.0;234.33899440067773;27.266276079752913;56.55532830298461
89;178.44603338826084;89.90593079020432;41.573250212859634;181.928523678842;25.0;27.317428700596352;55.2891488600206
90;25.0;93.54331837539797;25.0;25.0;233.43992358718245;27.266784170286655;56.42080993092487
91;173.48814348615997;90.06145300136362;41.31744401394156;192.7345182484917;25.0;27.381104181386533;55.3394164041555
92;25.0;93.18634876382286;25.0;25.0;232.88821145941156;27.32793784914393;56.289874425885
93;172.99118951647262;89.7239653853489;41.01871071305774;191.33951346541383;25.0;27.381835067328574;55.20073283373608
94;25.0;92.84614306902671;25.0;25.0;231.95850179591582;27.328491528077244;56.15081053263775
95;172.48781120980863;89.38242713958822;40.719881287256584;189.92960170283155;25.0;27.38257699102282;55.060347936061945
96;25.0;92.52398118656063;25.0;25.0;230.65903358376087;27.268850189666132;56.00429503147069
97;169.70916701299245;88.06128109980898;40.3653431820995;186.15074069518403;25.0;27.320942761767977;60.99733673249389
98;25.0;91.10157839879045;25.0;25.0;227.14572716810477;27.269465745498213;61.99250617037323
99;169.20106959117504;87.71732668786544;40.07072204974618;184.73489911507133;25.0;27.321679758775833;60.84550419401746
100;25.0;90.75693121059454;25.0;25.0;226.2028197280437;27.270040598744238;61.84125771422868
101;168.69260224369594;87.3734499562064;39.77992432926809;183.32131949589373;25.0;27.32241893607307;60.693646764519976
102;25.0;90.41300571415661;25.0;25.0;225.26172276383446;27.270619507087446;61.690272118974775
